"","rating","plan","state","type","ncqa","consumersat","prevention","treatment","instype"
"9",3,"Humana Health Plan","AL","HMO/POS","Yes",1.5,3,2.5,"Commercial"
"10",2.5,"Aetna Life Insurance Company (Alabama)","AL","PPO","Yes",3.5,1.5,2,"Commercial"
"11",2.5,"United Healthcare Insurance","AL","PPO","Yes",2.5,1.5,2,"Commercial"
"12",2.5,"United HealthCare Services","AL","PPO","Yes",2.5,1.5,2,"Commercial"
"13",NA,"Special Agents Mutual Benefit Association","AL","PPO","No",3,NA,NA,"Commercial"
"14",NA,"Blue Cross and Blue Shield of Alabama","AL","PPO","No (Scheduled)",NA,NA,NA,"Commercial"
"15",NA,"Compass Rose Health Plan","AL","PPO","No",NA,NA,NA,"Commercial"
"91",4,"Aetna Life Insurance Company (Pennsylvania)","AL","PPO","Yes",3.5,3.5,3.5,"Medicare"
"101",4,"Humana Health Plan","AL","HMO","Yes",3.5,3.5,3.5,"Medicare"
"111",3.5,"HealthSpring","AL","HMO","No",3.5,4,3,"Medicare"
"121",3.5,"Humana Health Plan - Kentucky","AL","HMO","Yes",3,3,3,"Medicare"
"131",3.5,"Humana Insurance (Ohio)","AL","PPO","Yes",3.5,3.5,3,"Medicare"
"141",3.5,"UnitedHealthcare Insurance","AL","PPO","Yes",3,3.5,3,"Medicare"
"151",3,"Blue Cross and Blue Shield of Alabama","AL","PPO","No",3,3,2.5,"Medicare"
"16",3,"Humana Insurance","AL","PPO","No",4,3,3,"Medicare"
"17",3,"UnitedHealthcare Insurance","AL","HMO","Yes",3,2.5,2.5,"Medicare"
"18",NA,"Care Improvement Plus South Central Insurance","AL","HMO/POS","No",NA,2,2,"Medicare"
"19",NA,"VIVA Health","AL","HMO","No",NA,NA,NA,"Medicare"
"1",NA,"[ No Data Submitted for Accounts ]","AL","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"92",2.5,"Aetna Life Insurance Company (Alaska)","AK","PPO","Yes",2.5,1,2.5,"Commercial"
"102",2.5,"Premera Blue Cross Blue Shield of Alaska","AK","PPO","Yes",2,2,2,"Commercial"
"112",NA,"Special Agents Mutual Benefit Association","AK","PPO","No",3,NA,NA,"Commercial"
"122",NA,"Compass Rose Health Plan","AK","PPO","No",NA,NA,NA,"Commercial"
"132",NA,"Moda Health","AK","PPO","No (Scheduled)",NA,NA,NA,"Commercial"
"93",4,"Aetna Life Insurance Company (Pennsylvania)","AK","PPO","Yes",3.5,3.5,3.5,"Medicare"
"103",3.5,"UnitedHealthcare Insurance","AK","PPO","Yes",3,3.5,3,"Medicare"
"110",NA,"[ No Data Submitted for Accounts ]","AK","[ No Data Submitted for Accounts ]","[ No Data Submitted for Accounts ]",NA,NA,NA,"Medicaid"
"94",4,"Cigna HealthCare of Arizona","AZ","HMO/POS","Yes",2.5,3.5,3.5,"Commercial"
"104",3.5,"Cigna Health and Life Insurance","AZ","PPO","Yes",2.5,3.5,3,"Commercial"
"113",3.5,"Connecticut General Life Insurance (Cigna)","AZ","PPO","Yes",2.5,3.5,3,"Commercial"
"123",3.5,"Health Net of Arizona","AZ","HMO","Yes",2.5,3,3,"Commercial"
"133",3,"Aetna Health (Pennsylvania) - Arizona","AZ","HMO/POS","Yes",3,2,2.5,"Commercial"
"142",3,"Aetna Life Insurance Company (Arizona)","AZ","PPO","Yes",3,2.5,3,"Commercial"
"152",3,"Humana Health Plan","AZ","HMO/POS","Yes",1.5,3,2.5,"Commercial"
"161",3,"Humana Health Plan - Arizona","AZ","HMO/POS","Yes",1.5,2.5,3,"Commercial"
"171",3,"United HealthCare Services","AZ","PPO","Yes",3,2.5,2.5,"Commercial"
"181",3,"UnitedHealthcare Insurance","AZ","PPO","Yes",3,2.5,2.5,"Commercial"
"191",3,"UnitedHealthcare of Arizona","AZ","HMO","Yes",3.5,2,3,"Commercial"
"20",2.5,"United Healthcare Insurance","AZ","PPO","Yes",2.5,1.5,2,"Commercial"
"21",NA,"Humana Insurance (Arizona)","AZ","PPO","Yes",NA,1.5,2.5,"Commercial"
"22",NA,"Meritus Health Partners (HMO)","AZ","HMO","Yes",NA,NA,NA,"Commercial"
