Year,Location,Under 100%,100-199%,200-399%,400%+,Total,Under 100%,100-199%,200-399%,400%+,Total
2016,United States,41077500,54621300.00,94275300.00,130397800.00,320372000.00,0.1282,0.1705,0.2943,0.4070,1
2016,Alabama,795800,901600.00,1442100.00,1694500.00,4834100.00,0.1646,0.1865,0.2983,0.3505,1
2016,Alaska,92500,101000.00,197600.00,319700.00,710800.00,0.1302,0.1421,0.2780,0.4497,1
2016,Arizona,1119500,1296200.00,1961300.00,2513100.00,6890200.00,0.1625,0.1881,0.2847,0.3647,1
2016,Arkansas,475500,563400.00,989200.00,917200.00,2945300.00,0.1614,0.1913,0.3359,0.3114,1
2016,California,5480200,6999700.00,10817800.00,15890600.00,39188300.00,0.1398,0.1786,0.2760,0.4055,1
2016,Colorado,474100,768500.00,1630900.00,2635700.00,5509200.00,0.0860,0.1395,0.2960,0.4784,1
2016,Connecticut,354200,433800.00,969600.00,1812800.00,3570300.00,0.0992,0.1215,0.2716,0.5077,1
2016,Delaware,111600,135000.00,314600.00,387000.00,948200.00,0.1177,0.1424,0.3318,0.4082,1
2016,District of Columbia,112500,103100.00,140400.00,329700.00,685800.00,0.1641,0.1504,0.2048,0.4808,1
2016,Florida,2680000,4034400.00,6448200.00,7382600.00,20545300.00,0.1304,0.1964,0.3139,0.3593,1
2016,Georgia,1590800,2010700.00,2909000.00,3770200.00,10280800.00,0.1547,0.1956,0.2830,0.3667,1
2016,Hawaii,129600,208200.00,407000.00,647700.00,1392400.00,0.0931,0.1495,0.2923,0.4651,1
2016,Idaho,186600,333200.00,589600.00,569600.00,1679000.00,0.1111,0.1985,0.3512,0.3393,1
2016,Illinois,1542100,1863400.00,3459500.00,5742400.00,12607400.00,0.1223,0.1478,0.2744,0.4555,1
2016,Indiana,777600,1136000.00,2089400.00,2500200.00,6503200.00,0.1196,0.1747,0.3213,0.3845,1
2016,Iowa,309400,502100.00,982600.00,1312100.00,3106200.00,0.0996,0.1616,0.3163,0.4224,1
2016,Kansas,326600,501200.00,945100.00,1092100.00,2865000.00,0.1140,0.1749,0.3299,0.3812,1
2016,Kentucky,671800,951800.00,1320400.00,1444200.00,4388200.00,0.1531,0.2169,0.3009,0.3291,1
2016,Louisiana,928500,915000.00,1264000.00,1471000.00,4578500.00,0.2028,0.1999,0.2761,0.3213,1
2016,Maine,171500,240300.00,392800.00,517100.00,1321600.00,0.1298,0.1818,0.2972,0.3912,1
2016,Maryland,427000,917100.00,1534600.00,3054100.00,5932800.00,0.0720,0.1546,0.2587,0.5148,1
2016,Massachusetts,653000,843300.00,1663900.00,3619400.00,6779600.00,0.0963,0.1244,0.2454,0.5339,1
2016,Michigan,1109400,1582200.00,3100900.00,4100800.00,9893200.00,0.1121,0.1599,0.3134,0.4145,1
2016,Minnesota,476600,634700.00,1642800.00,2682400.00,5436600.00,0.0877,0.1168,0.3022,0.4934,1
2016,Mississippi,626800,616400.00,840800.00,864200.00,2948100.00,0.2126,0.2091,0.2852,0.2931,1
2016,Missouri,773100,1019300.00,1864200.00,2232200.00,5888700.00,0.1313,0.1731,0.3166,0.3791,1
2016,Montana,125300,185100.00,324400.00,400800.00,1035500.00,0.1210,0.1787,0.3132,0.3870,1
