Year,Location,Citizen,Non-Citizen,Total,Citizen,Non-Citizen,Total
2016,United States,296927200,23444800,320372000,0.93,0.07,1
2016,Alabama,4751600,82500,4834100,0.98,0.02,1
2016,Alaska,686000,24900,710800,0.96,0.04,1
2016,Arizona,6275900,614300,6890200,0.91,0.09,1
2016,Arkansas,2835300,110000,2945300,0.96,0.04,1
2016,California,33939500,5248700,39188300,0.87,0.13,1
2016,Colorado,5166400,342800,5509200,0.94,0.06,1
2016,Connecticut,3321600,248800,3570300,0.93,0.07,1
2016,Delaware,894700,53500,948200,0.94,0.06,1
2016,District of Columbia,635400,50400,685800,0.93,0.07,1
2016,Florida,18368700,2176600,20545300,0.89,0.11,1
2016,Georgia,9516500,764200,10280800,0.93,0.07,1
2016,Hawaii,1247900,144500,1392400,0.90,0.10,1
2016,Idaho,1607300,71700,1679000,0.96,0.04,1
2016,Illinois,11682700,924800,12607400,0.93,0.07,1
2016,Indiana,6323300,179900,6503200,0.97,0.03,1
2016,Iowa,3012600,93600,3106200,0.97,0.03,1
2016,Kansas,2739600,125400,2865000,0.96,0.04,1
2016,Kentucky,4255300,132800,4388200,0.97,0.03,1
2016,Louisiana,4466900,111600,4578500,0.98,0.02,1
2016,Maine,1311800,N\/A,1321600,0.99,N\/A,1
2016,Maryland,5488300,444500,5932800,0.93,0.07,1
2016,Massachusetts,6090400,689100,6779600,0.90,0.10,1
2016,Michigan,9517500,375700,9893200,0.96,0.04,1
2016,Minnesota,5193700,242900,5436600,0.96,0.04,1
2016,Mississippi,2911100,37000,2948100,0.99,0.01,1
2016,Missouri,5733900,154800,5888700,0.97,0.03,1
2016,Montana,1023200,12300,1035500,0.99,0.01,1
2016,Nebraska,1769200,106800,1876100,0.94,0.06,1
2016,Nevada,2693800,249400,2943200,0.92,0.08,1
2016,New Hampshire,1283600,34500,1318100,0.97,0.03,1
2016,New Jersey,7946400,905100,8851500,0.90,0.10,1
2016,New Mexico,1917200,127700,2045000,0.94,0.06,1
2016,New York,17660700,1821600,19482300,0.91,0.09,1
2016,North Carolina,9541300,527100,10068300,0.95,0.05,1
2016,North Dakota,726400,23100,749500,0.97,0.03,1
2016,Ohio,11223200,245500,11468700,0.98,0.02,1
2016,Oklahoma,3716400,204600,3921100,0.95,0.05,1
2016,Oregon,3829900,300300,4130200,0.93,0.07,1
2016,Pennsylvania,12184600,373300,12557900,0.97,0.03,1
2016,Rhode Island,984100,70200,1054300,0.93,0.07,1
2016,South Carolina,4784900,123500,4908400,0.97,0.03,1
2016,South Dakota,844100,11200,855400,0.99,0.01,1
2016,Tennessee,6392300,281800,6674100,0.96,0.04,1
2016,Texas,24595000,3082300,27677200,0.89,0.11,1
2016,Utah,2920000,159700,3079700,0.95,0.05,1
2016,Vermont,614400,8100,622500,0.99,0.01,1
2016,Virginia,7631900,543100,8175000,0.93,0.07,1
2016,Washington,6700300,597100,7297300,0.92,0.08,1
2016,West Virginia,1797400,16700,1814100,0.99,0.01,1
2016,Wisconsin,5611300,154800,5766100,0.97,0.03,1
2016,Wyoming,561400,10300,571700,0.98,0.02,1
