Year,Location,Male,Female,Total,Male,Female,Total
2016,United States,156938600,163433400,320372000,0.49,0.51,1
2016,Alabama,2341800,2492300,4834100,0.48,0.52,1
2016,Alaska,360500,350400,710800,0.51,0.49,1
2016,Arizona,3386900,3503300,6890200,0.49,0.51,1
2016,Arkansas,1435600,1509700,2945300,0.49,0.51,1
2016,California,19459100,19729200,39188300,0.50,0.50,1
2016,Colorado,2750600,2758600,5509200,0.50,0.50,1
2016,Connecticut,1759500,1810800,3570300,0.49,0.51,1
2016,Delaware,458600,489600,948200,0.48,0.52,1
2016,District of Columbia,326700,359100,685800,0.48,0.52,1
2016,Florida,9952400,10592900,20545300,0.48,0.52,1
2016,Georgia,4985700,5295100,10280800,0.48,0.52,1
2016,Hawaii,687900,704600,1392400,0.49,0.51,1
2016,Idaho,836400,842700,1679000,0.50,0.50,1
2016,Illinois,6172500,6435000,12607400,0.49,0.51,1
2016,Indiana,3167400,3335800,6503200,0.49,0.51,1
2016,Iowa,1544600,1561600,3106200,0.50,0.50,1
2016,Kansas,1422100,1442900,2865000,0.50,0.50,1
2016,Kentucky,2154400,2233800,4388200,0.49,0.51,1
2016,Louisiana,2203400,2375100,4578500,0.48,0.52,1
2016,Maine,648400,673200,1321600,0.49,0.51,1
2016,Maryland,2849500,3083300,5932800,0.48,0.52,1
2016,Massachusetts,3294300,3485200,6779600,0.49,0.51,1
2016,Michigan,4879300,5014000,9893200,0.49,0.51,1
2016,Minnesota,2679300,2757300,5436600,0.49,0.51,1
2016,Mississippi,1419300,1528800,2948100,0.48,0.52,1
2016,Missouri,2819700,3069000,5888700,0.48,0.52,1
2016,Montana,519200,516300,1035500,0.50,0.50,1
2016,Nebraska,925800,950300,1876100,0.49,0.51,1
2016,Nevada,1463600,1479600,2943200,0.50,0.50,1
2016,New Hampshire,650500,667600,1318100,0.49,0.51,1
2016,New Jersey,4304500,4547000,8851500,0.49,0.51,1
2016,New Mexico,1003300,1041600,2045000,0.49,0.51,1
2016,New York,9401400,10081000,19482300,0.48,0.52,1
2016,North Carolina,4863400,5204900,10068300,0.48,0.52,1
2016,North Dakota,384900,364600,749500,0.51,0.49,1
2016,Ohio,5604700,5864100,11468700,0.49,0.51,1
2016,Oklahoma,1956400,1964700,3921100,0.50,0.50,1
2016,Oregon,2054500,2075700,4130200,0.50,0.50,1
2016,Pennsylvania,6102300,6455600,12557900,0.49,0.51,1
2016,Rhode Island,517700,536600,1054300,0.49,0.51,1
2016,South Carolina,2358800,2549600,4908400,0.48,0.52,1
2016,South Dakota,430700,424700,855400,0.50,0.50,1
2016,Tennessee,3274200,3399900,6674100,0.49,0.51,1
2016,Texas,13626500,14050700,27677200,0.49,0.51,1
2016,Utah,1552500,1527200,3079700,0.50,0.50,1
2016,Vermont,309800,312700,622500,0.50,0.50,1
2016,Virginia,3931100,4243900,8175000,0.48,0.52,1
2016,Washington,3639400,3657900,7297300,0.50,0.50,1
2016,West Virginia,901200,913000,1814100,0.50,0.50,1
2016,Wisconsin,2878200,2887900,5766100,0.50,0.50,1
2016,Wyoming,288600,283100,571700,0.50,0.50,1
